question_id,topic_id,question_text,option_a,option_b,option_c,correct_answer,hint_text,difficulty
Q001,T001,What does HTML stand for?,HyperText Markup Language,HyperText Markup Language,HyperText Markup Language,A,Think about the three words that make up HTML,1
Q002,T001,What is the main job of HTML?,To add colours to webpages,To build the structure of a webpage,To create animations,B,What does HTML do for a webpage?,1
Q003,T001,What is the very first tag you type in a new HTML file?,<html>,<!DOCTYPE html>,<body>,B,This goes at the very top of the file,1
Q004,T001,What happens when you open an HTML file in a web browser?,The browser shows you the webpage,It edits the code for you,It saves the file automatically,A,What does the browser do with the code?,1
Q005,T001,What is an HTML tag?,A special word in angle brackets like <p>,A programming language,A type of software,A,Look at the symbols used - what goes inside them?,1
Q006,T001,Which tag holds everything you can SEE on a webpage?,<body>,<head>,<footer>,A,What part of the page can you actually see?,1
Q007,T001,What two main parts does every HTML page have?,A head and a body,A header and a footer,A title and a footer,A,Think about the two sections every HTML page has,1
Q008,T002,Which tag makes a new paragraph?,<p>,<h1>,<div>,A,This tag is one letter and starts with p,1
Q009,T002,How many heading sizes can you use in HTML?,6,6,4,A,Count from h1 to h6,1
Q010,T002,Which heading is the BIGGEST on a webpage?,<h1>,<h2>,<h3>,A,Which number gives the biggest heading?,1
Q011,T002,Which heading is the SMALLEST on a webpage?,<h6>,<h5>,<h4>,A,Which number gives the smallest heading?,1
Q012,T002,What kind of information goes inside the <head> tag?,Information about the page (like the title),The text you see on the page,The page title and settings,A,This is stuff the user doesn't see,1
Q013,T002,Which tag creates a new line without starting a new paragraph?,<br>,<p>,<hr>,A,"This tag starts with br and is short for ""break""",1
Q014,T002,What is special about the <br> tag?,It does not need a closing tag,It is empty and has no content,It has no opening tag,A,Does it have a closing tag?,1
Q015,T003,Which heading tag is used for the MAIN title of a page?,<h1>,<h6>,<h2>,A,Which heading is the most important?,1
Q016,T003,What does the <p> tag create on your webpage?,A block of text,A heading,A new line,A,What does the p stand for?,1
Q017,T003,"If you forget to close a <p> tag, what usually happens?",The browser still shows the text normally,The page will show an error,The browser will not show anything,A,Browsers are forgiving with small mistakes,1
Q018,T003,Which tag would you use for a section title that is smaller than <h1>?,<h2>,<h3>,<p>,A,Which heading is one level below h1?,1
Q019,T003,How is <h1> different from <h2>?,<h1> is bigger,<h1> is smaller,They are exactly the same,A,Think about the size difference,1
Q020,T003,Can you put a heading tag inside a paragraph tag?,"No, headings must be on their own line","Yes, you can put them anywhere",Only in special cases,A,Headings are block elements - they take their own line,1
Q021,T004,What attribute do you use to add a web address to a link?,href,src,link,A,This attribute starts with h,1
Q022,T004,Which HTML tag creates a clickable link?,<a>,<link>,<hyperlink>,A,This tag is a single letter,1
